documento|nome|contrato|ValorContrato|ContratoPlano|ValorParcela|DataVencimento
73603055138510|Vinicius da Conceição|CX-152232320019453767397814391834214861699|3630|10|363|2018-03-14
51104596148|Enzo Gabriel da Paz|CX-74176309651556141226997559049886684620|124803|21|5943|2018-11-03
90900469609239|Breno Rocha|CX-192093710059282816869073286090529335237|3000|1|3000|2018-06-10
04346484697|Calebe Nogueira|CX-13333119376725312754686904747406639806|178398|18|9911|2018-02-16
98056397205|Nicole Melo|CX-304247134874128519156157637269293755055|36704|8|4588|2018-03-08
85826278587|Isaac Viana|CX-335243678769247112925966512236740553068|11770|10|1177|2018-12-13
73888849023753|Sr. Lucas Gabriel Cardoso,|CX-312920312133326049528053495457818594145|17920|14|1280|2018-06-04
99101241392840|Davi Martins|CX-310730769066194665757681104110828756065|10785|5|2157|2018-09-06
78644722942082|Davi das Neves|CX-172754793509530570880194276713085515860|68688|24|2862|2018-05-20
52465770234600|Sr. Vinicius da Cruz|CX-58685199982282419104279670342204132240|27930|7|3990|2018-07-15
75930489777|Bianca Pereira|CX-187603186053457095040651549944764148269|27136|4|6784|2018-07-05
13461188925102|Caio Ferreira|CX-233744110465405032020121719102564502869|26136|9|2904|2018-02-10
88144903754000|Davi Lucas da Cruz|CX-209077535139072663682652720490205018967|33677|7|4811|2018-04-20
91567725058110|Ana Julia da Paz|CX-319388219212369218860195175861750379619|69690|10|6969|2018-03-11
12232143384|Luiz Otávio Vieira|CX-117418187582335140598848303170754281862|27051|3|9017|2018-03-02
47845802719|Natália Ramos|CX-56251547315299777604781693744136911181|65384|22|2972|2018-02-14
37360798507|Dra. Clara Rocha|CX-3609493924619576455378110468126969890|12408|6|2068|2018-04-19
37092646169576|Dra. Lara Ribeiro|CX-335390075624833775703543647687270578646|50817|13|3909|2018-05-13
21918113475505|Yasmin Dias|CX-60334224441253900203594223382511424047|98868|21|4708|2018-12-04
18095016799|Maria Clara da Cunha|CX-130628877177709920702305932915037616738|194120|20|9706|2018-05-13
20772793620|Marcelo Dias|CX-27909000578282190606994908413279966292|21576|3|7192|2018-02-01
20267280810027|Caio da Cruz|CX-103443276114359975151087424372301071152|59891|13|4607|2018-03-14
22187994805|Davi Lucca da Cruz|CX-165023933656941719799427913225288717789|3422|1|3422|2018-06-09
55245643669|Gabriel Mendes|CX-177034798544398358780815270883596945771|95480|10|9548|2018-08-12
80453292380|Thiago Gomes|CX-272023266640038064603796812735058955350|79509|17|4677|2018-02-13
51411792068|Emanuel Lima|CX-89068835764893074791329341866725822294|12702|3|4234|2018-08-03
39871468174420|Maitê Ferreira|CX-246052458963572105191174818624492083462|53809|7|7687|2018-08-07
47073655402|Srta. Maria Alice da Rosa|CX-319585551788266055637128912188339503895|0|0|6504|2018-05-22
14713563867402|Igor da Rocha|CX-339074646893268334040430486831590221189|181450|19|9550|2018-11-17
90888385410811|Ana Júlia Viana|CX-281154917441612886617548135695603243706|33964|4|8491|2018-08-01
58887997825661|Srta. Fernanda Dias|CX-175227237286056911118613937356646697986|54835|11|4985|2018-09-21
79235672151770|Ana Vitória Jesus|CX-128347899252452923244686766781828068831|40299|7|5757|2018-05-24
92716432678|Cauã Dias|CX-162183998211296369985614981437460764956|40734|18|2263|2018-03-11
49486345598547|Nathan Aragão|CX-302497420403945373936735125412853783288|169728|24|7072|2018-06-06
16507522880|Caio Mendes|CX-131153916926444529302589011695881138168|80770|10|8077|2018-09-18
21269649900680|Fernanda da Conceição|CX-48725711175298418317598382240857275274|174|1|174|2018-03-06
40121064496519|Vinicius Santos|CX-181310731987095261619281902619848822901|24080|8|3010|2018-12-16
10123200543059|Antônio Silva|CX-222161419769460057074337879564867550394|62586|19|3294|2018-10-04
96343324046|Lara Azevedo|CX-75478180955394249910442142651314002973|64976|16|4061|2018-01-17
76507645827316|Levi Caldeira|CX-145068372903266794924662838517370428826|29360|16|1835|2018-09-18
04793691229844|Srta. Maria Sophia Teixeira|CX-10751888338705658292713287451593503958|112368|16|7023|2018-09-16
09686406999|Noah da Rosa|CX-24861402946085043616260849169590326616|19360|20|968|2018-01-15
42280338382704|Juliana Duarte|CX-318829127194198476657080336459730448369|137240|20|6862|2018-05-23
10372502883910|Diego da Paz|CX-204390049302427240969920012209820858548|34096|16|2131|2018-08-02
38457146088120|Laís Cunha|CX-240805294048420351919687625103667907651|0|0|2474|2018-02-04
40906015113099|Rodrigo Sales|CX-318074134421057323421187712352566384737|151720|20|7586|2018-03-08
93388612392406|Dra. Ana Vitória Lopes|CX-138946650362953556663502950508172127811|28520|23|1240|2018-06-15
13946391206|Sr. Anthony Alves|CX-250747530286296091005429524377692844727|18792|3|6264|2018-02-14
05993630776789|Vitor Santos|CX-155173063486165584300561780197276670415|133300|20|6665|2018-12-24
62210889766|Fernando Barbosa|CX-119520301147271411454633567667531947567|10458|18|581|2018-10-01
54876741955488|Brenda da Costa|CX-76678740810392466613597503054164969295|104923|13|8071|2018-07-16
17726661062|André Melo|CX-247767018382174420313642080577545261954|87390|18|4855|2018-09-22
05046846366830|Isaac Souza|CX-314086678293572822246540373175195880334|53424|7|7632|2018-04-12
79384669010228|Evelyn da Paz|CX-329325167508452632872168613097876735304|3612|3|1204|2018-03-18
90355301954|Matheus Freitas|CX-252135883714553484565400232382261995790|54866|14|3919|2018-06-09
49205258404800|Isadora Gomes|CX-251047283310996177880410452552535934084|206136|24|8589|2018-09-04
68719382548589|Srta. Caroline FariasFernandes|CX-215900751150561526273380785968066828151|131406|22|5973|2018-02-18
71796626046005|Caio Ramos|CX-135297510599905129340804493894237396629|18607|23|809|2018-09-01
62319611681|Maria Clara da Paz|CX-64242109955511891685620191171016563371|79079|13|6083|2018-03-18
54901391170228|Sr. Marcelo das Neves|CX-205489731910693949047495088401358165782|51190|10|5119|2018-09-14
64030341896|Enzo Moraes|CX-262483757018157140608940001102230417533|187200|20|9360|2018-01-05
04794945095540|Letícia Ribeiro|CX-257924875501530362730584698186069839186|8796|2|4398|2018-10-13
58748857854700|Kevin Ferreira|CX-132878021066390795023216201941876047107|17745|15|1183|2018-03-14
98959283002|Ryan da Paz|CX-104946850018011245813810931350732521987|13508|2|6754|2018-06-11
55996256733181|Beatriz Alves|CX-86069245014640907677649379064278776711|66372|12|5531|2018-07-14
65767210721|João Pinto|CX-166514873362064416381693742969154151891|17620|4|4405|2018-02-25
64239072506|Antônio Ribeiro|CX-312706555911844666378447570978580381566|13996|2|6998|2018-09-03
11115342339|Pedro Lucas Pires|CX-187323838789756344489756945397241316406|5344|8|668|2018-04-02
05904716993110|Helena Moura|CX-102389828105464401033224583924756559810|152592|17|8976|2018-10-10
43407140645486|Sr. Lucas Silveira|CX-74081045498192159135411756323936959120|172020|20|8601|2018-04-13
11949588777|Vitor Porto|CX-126077510411172402447988846372119115142|2896|8|362|2018-06-15
12184294772610|Sr. Eduardo da Cruz|CX-166124232781902961897175217920117525290|89172|18|4954|2018-08-11
32655225473|Nicolas Nascimento|CX-285935446081198859192235526200469369832|66948|21|3188|2018-11-08
71111269718|Maria Eduarda Viana|CX-40668290377917627754679827665536889111|11248|16|703|2018-04-07
63954637119886|Lucas Porto|CX-94114536178217780432897383531903174800|70839|9|7871|2018-11-25
27350632546959|Dr. Gustavo da Paz|CX-165852241806018550610156933180838140114|0|0|556|2018-10-23
29826208866879|Raul Vieira|CX-170104248181537284463593236738676709475|75889|11|6899|2018-06-05
76959562232500|Daniela Araújo|CX-2952927760334473531333491697283263330|33460|14|2390|2018-11-14
38228581428544|Luna Souza|CX-75237734746538952063885986803172726031|20388|12|1699|2018-05-23
54253906011505|Vitor Hugo Moraes|CX-95247206289076985832033033242082616015|27440|20|1372|2018-07-21
00484114873158|Agatha Souza|CX-283617573794239163791770476753822779216|9072|18|504|2018-10-03
13165624642056|Gustavo Henrique Oliveira|CX-336258577245185672960258103429478486849|84949|17|4997|2018-05-22
88806313421528|Thomas Nogueira|CX-87563324639214778665445710644435619498|192500|22|8750|2018-10-09
17307848801929|Luiza Rezende|CX-330096294882790240283933873669227001538|15584|4|3896|2018-08-11
83522799208|Noah Rezende|CX-87628659500664407337651938499148030684|163913|19|8627|2018-02-20
63806810354|Luiz Henrique Santos|CX-252562917427347799718364532493764037722|130296|24|5429|2018-04-22
25153892107|Gabriela Vieira|CX-83055729853165597585751884165416183846|28844|4|7211|2018-02-13
38724367980397|Bruno Lima|CX-338241391478980230789180214278680223546|66420|12|5535|2018-11-12
29725471288819|Rafael Cardoso|CX-319444722269808808471332194854995961463|15990|13|1230|2018-09-15
04770981365032|Luiz Fernando Moura|CX-27838219535010054096686864861112776765|43290|10|4329|2018-02-19
38746325395|Stella Martins|CX-2165844225617002047234651284938744501|42170|10|4217|2018-12-17
80912097388|Sra. Amanda Teixeira|CX-131367507320448943967044407241169037235|102459|21|4879|2018-10-12
55236726125591|Mariana Cardoso|CX-183857633187729865583459188768427002876|7952|1|7952|2018-10-24
76985650564570|Kamilly Martins|CX-272016461294701702342699888557809529330|21561|3|7187|2018-10-09
83200816134397|Luiza Pereira|CX-216728500370201386062773480168251304161|4305|7|615|2018-04-21
74583586370|Benjamin Gomes|CX-111859958304299091949421358538963202184|4638|3|1546|2018-11-08
05771374816400|Maria Julia Nogueira|CX-274828306292467421582340550531239096481|20570|5|4114|2018-08-19
14915198422565|Luiz Fernando da Cruz|CX-109989128077448489391383235591985872034|35168|4|8792|2018-11-17
52736439153688|Dr. Enrico Aragão|CX-272728633856010638145693248537019323913|23886|9|2654|2018-07-22
87225709852|Diogo Cardoso|CX-57454653810953040271564415836422803430|76084|23|3308|2018-10-05
96914308004|Eduardo Barros|CX-203663509023547721630560864993836633402|37905|7|5415|2018-01-04
82259591481693|João Pedro Costela|CX-2006197144065553675407775961764768430|95216|22|4328|2018-12-22
31499780982138|Sra. Maria Julia Porto|CX-187475401124376444469586485552139373639|51294|6|8549|2018-01-16
07239537838|Heloísa da Rocha|CX-286106658564650147572472141789886197258|7174|17|422|2018-12-07
16530701451|Luana Alves|CX-142363379335950166170476616887794680545|15125|5|3025|2018-05-10
09396411681632|Maria Alice Alves|CX-118511914849825981393044305037856004835|96629|13|7433|2018-06-16
22395676861|Bianca Ramos|CX-215751232294107344170209998548268044296|159800|20|7990|2018-09-16
23435717084|Rafaela da Cunha|CX-281396814351341515933584848928105313048|148848|21|7088|2018-04-23
05224776811778|Cecília Araújo|CX-197895111616289692651641715726887923897|108020|20|5401|2018-01-13
05906207465|Emanuelly Nunes|CX-15805056526788640309242607589282407280|93276|18|5182|2018-04-05
49884242887138|Srta. Helena FariasFernandes|CX-194382940051818039360491788915624336100|19261|17|1133|2018-03-14
92909871703|Dr. Gabriel Nogueira|CX-206935681658937542076671573141388212394|31955|7|4565|2018-08-12
51561004065|Bruno Monteiro|CX-294202409416868918211453822033042155557|45702|6|7617|2018-09-08
36002773320|Sr. Murilo Martins|CX-114818532975035978240479200134644664134|45324|18|2518|2018-07-19
15420004836|Miguel Oliveira|CX-161238239474440308698368370871924391364|117954|18|6553|2018-09-21
01914822674290|Erick da Rosa|CX-205989126077881997457984340420593383287|37860|12|3155|2018-07-09
70318619008|Gabriela Moreira|CX-232340237572367902446079701582498252652|47096|7|6728|2018-07-05
25844970372158|Luiz Henrique Peixoto|CX-154459856841032543937718545235470232888|123459|21|5879|2018-10-01
74989091163636|Ian Cardoso|CX-141435250851129286357534549920564428776|19260|4|4815|2018-03-19
20216515580706|João Miguel da Mata|CX-297757886715221928490216534012920394038|20952|4|5238|2018-07-01
91505043719|Pedro Henrique Aragão|CX-154168605552323760842432754479883787811|26334|6|4389|2018-04-07
58943819698820|Sarah Cardoso,|CX-302818362778014818349493839008041839566|11374|22|517|2018-05-12
37109926990|Henrique Martins|CX-31747537263645374971698128126667613008|12008|8|1501|2018-09-19
95730771956945|Ian Sales|CX-319629430481534762517102530412179207598|51444|18|2858|2018-03-08
80947904239|Mirella Ramos|CX-8264901084093081073026130194926411638|182208|24|7592|2018-07-13
19641385397657|Rafael Rezende|CX-73025938670490664270837979926470312160|12108|12|1009|2018-04-16
87789902509242|Ana Luiza Caldeira|CX-6903889576308456805658759089715112985|53244|17|3132|2018-04-04
68767359825|Luiz Otávio Teixeira|CX-305744314558121210500573038552521956150|6132|14|438|2018-08-15
79440712830|Luiz Otávio Monteiro|CX-109200765227372442045400990209338146309|16812|4|4203|2018-02-15
29550037355|Luiz Felipe Peixoto|CX-20435817372909703842193484332397245624|25080|20|1254|2018-02-20
40801508307004|Dr. Luiz Fernando Jesus|CX-171093990775704464940743383809451026861|7168|4|1792|2018-10-23
73103338619|Isis Costela|CX-157224875903744640242202433131032513266|14488|4|3622|2018-11-22
68297791324938|Davi Lucca Cavalcanti|CX-289733885102352231859656078870412074952|79924|13|6148|2018-11-05
57223401902407|Dr. Thales da Conceição|CX-245606774362913776965403336097208565732|95749|23|4163|2018-03-14
77036726881|Leandro Souza|CX-14273657226585888652103522876671169146|1756|2|878|2018-05-02
41010857576|Ana Carolina Barbosa|CX-124505327661026438321006086719028347824|38448|6|6408|2018-01-09
84966411820603|Dra. Sophia Cardoso|CX-49197962719846070007367515812069213674|38992|16|2437|2018-06-09
74121746813|Natália Freitas|CX-8599235075494811308883193567860517426|0|0|969|2018-01-04
63856754750|Isadora Jesus|CX-77218525476337326583248848311346673322|33590|10|3359|2018-06-20
18407984086|Milena Fogaça|CX-204641723790018871801734782311825353211|102963|21|4903|2018-01-09
10861979208723|Davi Lucas da Rosa|CX-92535225355373448230595922139537334913|136708|22|6214|2018-12-07
83173982242152|Dr. Marcos Vinicius Caldeira|CX-327440241369159152058505993824238804512|37998|6|6333|2018-03-15
91899327142|Camila Cardoso|CX-308639442443695902076307299739254875420|48360|13|3720|2018-01-10
54217965826|Dr. João Miguel Rezende|CX-81843149431083070059503262824237463069|42018|6|7003|2018-12-01
42279788900|Pedro Lucas Gomes|CX-73298956799012733576595372172742879466|14804|4|3701|2018-12-08
69604043803|Igor da Rocha|CX-331241852660618650226612979853039493927|82128|16|5133|2018-09-24
11425174116|Yasmin FariasFernandes|CX-218511323878811418583199924483065350704|47334|23|2058|2018-04-01
23386705073|Davi Luiz Fogaça|CX-128804342006724758756613202314611072072|37240|10|3724|2018-11-04
98647697154|Marina Mendes|CX-324992736254915122988490751665917769090|0|0|7845|2018-03-22
40761949184696|Giovanna Campos|CX-157874200779451418067777996091699026641|53082|6|8847|2018-12-25
51190493506381|Kamilly Gonçalves|CX-311093821088502227166682268431587419063|5604|6|934|2018-09-12
54565982137|Milena Cunha|CX-234465895082128892162616486135677476258|12600|8|1575|2018-07-13
46755391694734|Bruno Melo|CX-85694213778478893706780426699702334477|55692|21|2652|2018-12-06
74459254401790|Thales da Mata|CX-188950043239949266800092125262681626919|132715|19|6985|2018-06-24
48263532046210|Mariana Azevedo|CX-20392014695676778260282683628078514106|229908|23|9996|2018-05-01
58144002938|Ryan Ribeiro|CX-273777131271254886150961381927430483778|29559|3|9853|2018-02-04
53576258873524|Raquel Martins|CX-246179079655318863831094930809810625037|33782|7|4826|2018-07-23
50639029813618|Juan da Conceição|CX-225060980142137707184087170382028423317|58536|9|6504|2018-09-02
03950860697274|Clarice Costela|CX-316695917695701085922533172490345014993|0|0|2052|2018-04-13
48136694717419|Lorena Ramos|CX-102610714378519222580262639068220026536|19328|8|2416|2018-02-01
75903189277867|Giovanna Castro|CX-300405106484218399070575248842018085459|5426|1|5426|2018-09-23
92542126950|Luiz Miguel Vieira|CX-246512475163488337027355111338528749022|148656|19|7824|2018-06-20
46847233558878|Maysa Lima|CX-166278680462101525091609234916562594810|22368|6|3728|2018-11-08
36998896883|Dr. Vinicius Pereira|CX-210501004295411877060072862078465254386|71064|24|2961|2018-01-18
81986412709|Evelyn da Mata|CX-100870659867811329733580674104602115265|123984|24|5166|2018-09-17
42900843464|Dra. Milena Novaes|CX-72025442920995646718803803943134082985|47508|12|3959|2018-07-14
08081882081|Sra. Isis Novaes|CX-39599955503099289779833415156533936248|153648|24|6402|2018-01-05
50978404252792|Paulo Castro|CX-266805798514649319514083359955350751266|24777|9|2753|2018-06-04
27219769741|Manuela Azevedo|CX-77916015251068955622752517261702292160|138033|21|6573|2018-11-07
30019536478168|Ana Vitória Vieira|CX-8131387675141001638191865378863396263|6657|3|2219|2018-05-12
21053565539472|Sra. Olivia Jesus|CX-204822107022460015614576841833633437523|11760|4|2940|2018-01-11
14601124077|Luiz Otávio Pereira|CX-54104217175596872661084511417457482959|8025|3|2675|2018-09-01
58975403572|Vitória da Rosa|CX-22688634908855702643992468593714641236|23184|21|1104|2018-10-04
14240951232|Otávio Rezende|CX-234889827443653509894469357638609380285|39920|5|7984|2018-05-14
65835201761|Pietro da Rocha|CX-297291980094221080403704153606196994925|122730|15|8182|2018-06-25
45466429799032|Lorenzo Sales|CX-127933739706761157298232318923930472803|36624|4|9156|2018-05-10
24225763261083|Sophie Rodrigues|CX-117458742322812523660084908010306525012|36106|14|2579|2018-06-25
13763665501|Benício Freitas|CX-94058195941239625454382394426796649415|24040|20|1202|2018-12-23
72130797360280|Alexandre Rezende|CX-144813370523583431669730378768515403075|17106|6|2851|2018-04-22
31413625800|Diogo Peixoto|CX-256422676293853270507548633915304290701|189609|21|9029|2018-09-04
06518600766125|Ana Laura Moreira|CX-41631802762136927407361307525310738648|30492|18|1694|2018-06-08
00499808530121|Maria Eduarda Moura|CX-236537514164126076439916021235942310739|22884|6|3814|2018-02-12
90329298821700|Ana Júlia Dias|CX-258984798521950299606286440403882196646|1161|3|387|2018-01-03
53133361341|Clara Souza|CX-164305963272406291847941616019988074794|27183|13|2091|2018-05-12
39428205031844|Ana Clara Jesus|CX-304241307690424212561096747164830989958|132330|22|6015|2018-03-23
86557722913|Lucas Gabriel Oliveira|CX-89394467177184801030264733348068788146|42686|7|6098|2018-07-11
93334629279919|Luiz Miguel Pereira|CX-55995246112087709765335507993199572790|41104|16|2569|2018-02-07
66153319682657|Murilo Dias|CX-166148378849094271909021333191195302814|123102|18|6839|2018-07-24
21312262808428|Srta. Vitória da Rosa|CX-47555773906911400097275153427391774375|129122|23|5614|2018-07-05
76219611232055|Luigi Castro|CX-318990084853863766740044629024100245350|87100|10|8710|2018-11-10
08065966519|Luiz Fernando Teixeira|CX-35626737960174388548252305473631578290|0|0|7423|2018-11-15
93074794887|Dra. Laura Viana|CX-252112878417141707139667416985768926211|127619|17|7507|2018-06-25
37767891654078|Lucas Campos|CX-98787522937068138565218776779610872614|53082|18|2949|2018-10-05
29422769886161|Luna da Conceição|CX-146928758471252255480606060080248890829|64100|20|3205|2018-03-09
34798977923828|Pietra Freitas|CX-237134478132400104825988490482455612131|100800|12|8400|2018-08-22
42239921552|Yasmin Pires|CX-148159673795968884911568911325394786487|38630|10|3863|2018-03-21
68754098106|Sra. Stephany Nunes|CX-311084547855466336235082079800250439070|63805|7|9115|2018-09-05
50399847133711|Dra. Maria Vitória da Rocha|CX-116971208804543376035856908809310144572|163560|20|8178|2018-09-20
20917836502|Sr. Thomas da Conceição|CX-174913575093514444220368680776937389046|43045|5|8609|2018-08-12
44488612292842|Thomas Rocha|CX-54343649241244223944785591764187248987|156389|19|8231|2018-01-03
53346411494|Bernardo FariasFernandes|CX-142981779097143995280430512393739785185|7179|3|2393|2018-03-23
63395764605|Anthony da Paz|CX-266372774759408601965470002473946385902|28356|17|1668|2018-08-19
89068643100|Dr. João Pedro Correia|CX-182012191364055452750955880922231382051|7215|13|555|2018-01-10
71002930146|Beatriz Dias|CX-24301254330535544085870151832246084397|17856|2|8928|2018-06-24
04281749004100|Sra. Ana Julia da Luz|CX-97327729805919731340916197966302074652|63000|18|3500|2018-09-12
18839107761046|Leonardo da Rosa|CX-152066120352369308865745196862860916820|6978|1|6978|2018-12-13
92497932271|Daniela Moraes|CX-106340191182121424732481260278050499175|148050|15|9870|2018-04-24
28673560675|Pietro Moraes|CX-314145311551947031045874350003517104274|154480|20|7724|2018-07-22
97859668904100|Dr. Cauê Fogaça|CX-256625761342047908296243893411685019135|36455|5|7291|2018-08-20
64793659926|Paulo Costa|CX-189119916212263351591273302177438594778|1949|1|1949|2018-05-21
74905237610|Sr. Cauã da Luz|CX-50062690361673073241960125384823645448|48560|20|2428|2018-07-12
83008211470|Vitória Nunes|CX-280311525287228661281241569668785226249|12790|2|6395|2018-05-03
03925114625408|Vitória da Mata|CX-185299092215132499886823136822189868954|56690|10|5669|2018-08-05
94914821060|Sr. Levi Campos|CX-257247579266578878208353925536260323108|1599|13|123|2018-06-13
07444073708|Luigi da Rocha|CX-269981665432009625310059611090166979981|137807|19|7253|2018-04-21
60872668282|Juliana Pereira|CX-247308639242437577734245264757580608086|53547|13|4119|2018-07-14
89924728659891|Yuri da Mata|CX-260777733673335863309827987995023483126|113304|24|4721|2018-01-22
03705774598133|Maria Cecília Viana|CX-172026590090445439724337928541457943610|58821|7|8403|2018-02-01
72787618677|Nicolas da Rosa|CX-61823787665393254544626313547992594263|103014|18|5723|2018-08-21
33853736386|Clara Almeida|CX-173237301718088658610073646853408904155|4715|1|4715|2018-02-05
25217571012|Emilly Pinto|CX-142345708789432025240956492059117570414|6194|2|3097|2018-09-05
70118372483|Eloah Mendes|CX-302878070170525620900164686183205807302|3220|10|322|2018-03-21
47107507080203|Maria Fernanda da Rocha|CX-94981315273138888324415302030460659941|0|0|5840|2018-06-08
97772881432157|Rodrigo Lopes|CX-254246229565561981964876732051185984209|50028|22|2274|2018-11-05
14599349461|Srta. Agatha Nogueira|CX-149425190669332323871007389963135833834|19932|6|3322|2018-01-21
70254347606|Maria Luiza Alves|CX-178670246824875618098083845946880852626|37998|6|6333|2018-03-16
23848069957275|Sra. Mariana Martins|CX-38246296091530064370027978742215375843|156336|24|6514|2018-07-20
44758428307228|Bernardo Viana|CX-332186978496541079455428230485494387909|61596|12|5133|2018-02-12
20177447337290|Isabella Costela|CX-199431323885171309384015067064532810629|161194|22|7327|2018-10-22
33755696606269|Caio Jesus|CX-213260440655413148531413026227158028089|47755|5|9551|2018-08-24
46586874025|Diego da Mota|CX-2264563726090984794777771878018700767|10794|21|514|2018-07-19
63130476452220|Mirella da Mota|CX-79635087594777743926275703610456899210|101893|11|9263|2018-12-24
11510488529|Isabelly da Rocha|CX-276958310378339336023576277222539455131|13986|18|777|2018-09-06
17756921089|Samuel da Conceição|CX-209822041852945272201583542971924995089|76188|21|3628|2018-01-21
00076380785|Vitor Viana|CX-30881572872220448506117826214546753455|47312|16|2957|2018-01-04
